sigma1	sigma2	posterior
-7.799999999999999859e-04	-1.400000000000000000e+05	8.676533839441051186e-318
-7.799999999999999859e-04	-1.350000000000000000e+05	1.334677977076862309e-316
-7.799999999999999859e-04	-1.300000000000000000e+05	2.041963877608036399e-315
-7.799999999999999859e-04	-1.250000000000000000e+05	3.107141315492878832e-314
-7.799999999999999859e-04	-1.200000000000000000e+05	4.702354210033999078e-313
-7.799999999999999859e-04	-1.150000000000000000e+05	7.078008123965166271e-312
-7.799999999999999859e-04	-1.100000000000000000e+05	1.059615145009769306e-310
-7.799999999999999859e-04	-1.050000000000000000e+05	1.577708046023897594e-309
-7.799999999999999859e-04	-1.000000000000000000e+05	2.336396284045743370e-308
-7.799999999999999859e-04	-9.500000000000000000e+04	3.441182902623747149e-307
-7.799999999999999859e-04	-9.000000000000000000e+04	5.040926779272376313e-306
-7.799999999999999859e-04	-8.500000000000000000e+04	7.344367585026744618e-305
-7.799999999999999859e-04	-8.000000000000000000e+04	1.064240554069324378e-303
-7.799999999999999859e-04	-7.500000000000000000e+04	1.533792417180343312e-302
-7.799999999999999859e-04	-7.000000000000000000e+04	2.198541924412806652e-301
-7.799999999999999859e-04	-6.500000000000000000e+04	3.134326973144879951e-300
-7.799999999999999859e-04	-6.000000000000000000e+04	4.444216748461526397e-299
-7.799999999999999859e-04	-5.500000000000000000e+04	6.267401921798152541e-298
-7.799999999999999859e-04	-5.000000000000000000e+04	8.790655168904845503e-297
-7.799999999999999859e-04	-4.500000000000000000e+04	1.226298862203653896e-295
-7.799999999999999859e-04	-4.000000000000000000e+04	1.701424919934627300e-294
-7.799999999999999859e-04	-3.500000000000000000e+04	2.347851565540805890e-293
-7.799999999999999859e-04	-3.000000000000000000e+04	3.222328905553560692e-292
-7.799999999999999859e-04	-2.500000000000000000e+04	4.398559597072412876e-291
-7.799999999999999859e-04	-2.000000000000000000e+04	5.971624310478064523e-290
-7.799999999999999859e-04	-1.500000000000000000e+04	8.063356421943050971e-289
-7.799999999999999859e-04	-1.000000000000000000e+04	1.082880716829237452e-287
-7.799999999999999859e-04	-5.000000000000000000e+03	1.446394515195262187e-286
-7.799999999999999859e-04	0.000000000000000000e+00	1.921473040882013526e-285
-7.799999999999999859e-04	5.000000000000000000e+03	2.538769123954411798e-284
-7.799999999999999859e-04	1.000000000000000000e+04	3.336210949453622146e-283
-7.799999999999999859e-04	1.500000000000000000e+04	4.360388464317060221e-282
-7.799999999999999859e-04	2.000000000000000000e+04	5.668109659162399659e-281
-7.799999999999999859e-04	2.500000000000000000e+04	7.328121963071858963e-280
-7.799999999999999859e-04	3.000000000000000000e+04	9.422985369381608195e-279
-7.799999999999999859e-04	3.500000000000000000e+04	1.205107329975797295e-277
-7.799999999999999859e-04	4.000000000000000000e+04	1.532866462286180599e-276
-7.799999999999999859e-04	4.500000000000000000e+04	1.939207578922236152e-275
-7.799999999999999859e-04	5.000000000000000000e+04	2.439976594857479098e-274
-7.799999999999999859e-04	5.500000000000000000e+04	3.053433065170344420e-273
-7.799999999999999859e-04	6.000000000000000000e+04	3.800428191783518736e-272
-7.799999999999999859e-04	6.500000000000000000e+04	4.704549485610384448e-271
-7.799999999999999859e-04	7.000000000000000000e+04	5.792218471925599563e-270
-7.799999999999999859e-04	7.500000000000000000e+04	7.092726452132959494e-269
